user,p1_position,p1_time,p2_position,p2_time
Utkarsh Kukreti,1,78,,
lukechampine,2,79,,
Robert Xiao,3,83,52,776
mrphlip,4,107,,
Xavier Cooney ,5,109,,
5space,6,110,1,324
kejadlen,7,115,,
ZED.Charley William Thairo,8,122,68,839
tbodt,9,123,32,684
magical,10,124,,
leijurv,11,132,65,827
Joshua Chen,12,142,27,651
tckmn,13,150,,
dan-simon,14,150,11,540
Gustav Westling,15,152,,
Nathan Fenner,16,155,23,618
Kirby703,17,156,,
Jan Verbeek,18,159,,
Looking for blog readers!,19,167,6,495
glguy,20,169,,
anonymous user #1510407,21,172,,
Anish Singhani,22,176,30,676
meexwaal,23,179,,
betaveros,24,185,22,616
JackMacWindows,25,187,,
Thomas Neill,26,190,2,348
Neal Wu,27,192,51,771
pppery,28,192,,
thynnine,29,193,9,513
bluepichu,30,194,,
Larry,31,195,25,622
anonymous user #672515,32,196,,
The Friendly Enemy,33,197,,
Erik Amirell Eklöf,34,197,,
Nifley,35,198,,
Kevin Sheng,36,198,,
anonymous user #60233,37,203,,
Manish Kundu,38,204,,
Thomas Feld,39,205,,
DayDun,40,205,10,537
nthistle,41,207,,
ellellie,42,210,63,814
Shashank Bhatt,43,210,,
Vladislav Isenbaev,44,212,14,552
coolcomputery,45,212,34,688
vstrimaitis,46,212,12,546
Mercerenies,47,212,28,656
JacksonDonaldson,48,214,47,762
dvbui,49,215,,
Zeyu Chen,50,215,81,918
jonathanpaulson,51,216,100,975
Ryan Hitchman,52,216,41,713
Lydxn,53,217,,
Ian DeHaan,54,218,,
WutPu,55,218,,
jakzo,56,219,,
almasip,57,220,,
dtinth,58,220,,
lthistle,59,220,,
Kami Leon,60,222,,
Arcwise,61,223,19,588
Akiiino,62,225,26,624
hyper-neutrino,63,225,17,569
nim-ka,64,225,,
Adavya Goyal,65,225,,
Invariance-NaN,66,226,,
Benedikt Werner,67,226,29,664
Tony Jiang,68,229,,
William Y. Feng,69,229,64,818
Virgile Andreani ,70,230,,
Ethan C,71,232,,
Proximity Trigger,72,234,,
Danny Lin,73,234,,
Nick Gavalas,74,236,,
Cyprien Mangin,75,236,90,949
Carl Schildkraut,76,237,87,937
Patrick Hogg,77,238,,
KevinL10,78,239,,
sumeet,79,242,,
shengwu,80,247,,
Epiphane,81,249,,
brandtmaynard,82,249,,
LegionMammal978,83,249,,
PikMike,84,250,,
seligman99,85,252,82,923
D. Salgado,86,253,53,784
Jonathan Ho ,87,254,,
cefqrn,88,254,,
SeanRBurton,89,259,,
Antonio Molina,90,259,36,697
anominos,91,259,,
RussellDash332,92,260,,
TimHuisman1703,93,260,,
Robert Nies,94,260,,
bradleysigma,95,261,4,480
Lewin Gan,96,264,8,510
eross156,97,266,,
Jakub Kotrs,98,266,,
Matt Gruskin ,99,267,13,551
Tim Vermeulen,100,268,,
mingmingrr,,,3,476
Brandon Lin,,,5,488
anonymous user #271222,,,7,501
Joshua Wise,,,15,553
RootCubed,,,16,557
Oskar Haarklou Veileborg,,,18,575
GregorKikelj,,,20,593
Toni Fadjukoff ,,,21,605
Martin Camacho,,,24,618
Max Friedman,,,31,683
Adib Surani,,,33,686
Jared Hughes,,,35,693
Alexander Pivovarov,,,37,699
mckirk,,,38,703
anonymous user #1067586,,,39,710
anonymous user #2001399,,,40,712
zacharybarbanell,,,42,732
anonymous user #614991,,,43,736
Camelpilot33,,,44,741
Paul Draper,,,45,750
Alex Yu,,,46,758
aropan ,,,48,762
btnlq,,,49,762
msullivan,,,50,770
RundownRhino,,,54,797
vtjeng,,,55,798
Nick Liu,,,56,799
Brett Math,,,57,803
asottile,,,58,808
Avongard,,,59,808
penteract,,,60,808
Maarten Sijm,,,61,812
Ben Jacobson,,,62,813
llyyr,,,66,828
Davis Yoshida,,,67,838
Strikeeaglechase,,,69,839
Xander Fair,,,70,859
Bob Xiong,,,71,880
Akimitsu Hogge,,,72,887
Liam Powell,,,73,894
anonymous user #975121,,,74,895
UnrelatedString,,,75,897
mserrano,,,76,899
Nick Meyer,,,77,903
the-glu ,,,78,904
val tron,,,79,909
Kevin Wang,,,80,918
Lars Haulin ,,,83,923
Clayton Smith ,,,84,926
Oliver Ni,,,85,929
psun256,,,86,929
Paweł Kubiak,,,88,946
Golovanov399,,,89,948
Tomas Rokicki,,,91,952
petertseng,,,92,952
NovaSagittarii,,,93,953
Para Dust,,,94,955
David Maymudes,,,95,959
David Harmeyer ,,,96,962
anonymous user #1565212,,,97,965
Pedro Osório,,,98,968
Theodore Spaide,,,99,970
